"transaction_id","transaction_date","amount","transaction_type","account_id","description","merchant_name","category"
1,"2024-01-01","150.75","Credit",101,"Supermarket purchase","SuperMart","Groceries"
2,"2024-01-02","49.99","Debit",102,"Gas station","FuelStop","Fuel"
3,"2024-01-03","2000.00","Credit",103,"Salary deposit","Company ABC","Income"
4,"2024-01-04","79.99","Debit",104,"Restaurant dinner","FineDine","Dining"
5,"2024-01-05","300.00","Credit",105,"Online purchase","Amazon","Shopping"
6,"2024-01-06","99.50","Debit",106,"Electronics store","GadgetZone","Electronics"
7,"2024-01-07","500.00","Credit",107,"Rent payment","Property Management","Housing"
8,"2024-01-08","120.00","Debit",108,"Medical bill","Local Clinic","Healthcare"
9,"2024-06-09","89.95","Credit",109,"Bookstore purchase","Bookworm Books","Books"
10,"2024-06-10","45.50","Debit",110,"Coffee shop","Caffeine Fix","Coffee"
11,"2024-06-11","1500.00","Credit",111,"Investment deposit","Investment Firm","Investment"
12,"2024-06-12","65.25","Debit",112,"Movie tickets","Cinema Paradiso","Entertainment"
13,"2024-06-13","200.00","Credit",113,"Gift purchase","Gifts Galore","Gifts"
14,"2024-06-14","30.75","Debit",114,"Fast food","QuickBite","Dining"
15,"2024-06-15","750.00","Credit",115,"Insurance payment","Insurance Co.","Insurance"
16,"2024-06-16","100.50","Debit",116,"Grocery store","FreshMart","Groceries"
17,"2024-06-17","99.99","Credit",117,"Online subscription","Tech News","Subscription"
18,"2024-06-18","25.00","Debit",118,"Bus fare","Transit Services","Transportation"
19,"2024-06-19","1800.00","Credit",119,"Loan disbursement","Lender Bank","Loan"
20,"2024-06-20","55.80","Debit",120,"Pet supplies","Pet Paradise","Pets"
21,"2024-06-21","1200.00","Credit",121,"Real estate payment","Real Estate Inc.","Real Estate"
22,"2024-06-22","85.25","Debit",122,"Hair salon","Style Salon","Personal Care"
23,"2024-06-23","500.00","Credit",123,"Utility bill","Utility Co.","Utilities"
24,"2024-06-24","60.00","Debit",124,"Clothing store","Fashionista","Clothing"
25,"2024-06-25","3000.00","Credit",125,"Bonus payment","Company XYZ","Income"
26,"2024-06-26","40.50","Debit",126,"Pharmacy","Health Pharmacy","Healthcare"
27,"2024-06-27","95.25","Credit",127,"Home improvement","FixIt Home","Home Improvement"
28,"2024-06-28","15.99","Debit",128,"Music store","Melody Music","Entertainment"
29,"2024-06-29","150.00","Credit",129,"Charity donation","Good Cause Foundation","Charity"
30,"2024-06-30","75.50","Debit",130,"Bakery","BakeArt","Food"
31,"2024-01-01","150.75","Credit",101,"Supermarket purchase","SuperMart","Groceries"
32,"2024-01-02","49.99","Debit",102,"Gas station","FuelStop","Fuel"
33,"2024-01-03","2000.00","Credit",103,"Salary deposit","Company ABC","Income"
34,"2024-01-04","79.99","Debit",104,"Restaurant dinner","FineDine","Dining"
35,"2024-01-05","300.00","Credit",105,"Online purchase","Amazon","Shopping"
36,"2024-01-06","99.50","Debit",106,"Electronics store","GadgetZone","Electronics"
37,"2024-01-07","500.00","Credit",107,"Rent payment","Property Management","Housing"
38,"2024-01-08","120.00","Debit",108,"Medical bill","Local Clinic","Healthcare"
39,"2024-06-09","89.95","Credit",109,"Bookstore purchase","Bookworm Books","Books"
40,"2024-06-10","45.50","Debit",110,"Coffee shop","Caffeine Fix","Coffee"
41,"2024-06-11","1500.00","Credit",111,"Investment deposit","Investment Firm","Investment"
42,"2024-06-12","65.25","Debit",112,"Movie tickets","Cinema Paradiso","Entertainment"
43,"2024-06-13","200.00","Credit",113,"Gift purchase","Gifts Galore","Gifts"
44,"2024-06-14","30.75","Debit",114,"Fast food","QuickBite","Dining"
45,"2024-06-15","750.00","Credit",115,"Insurance payment","Insurance Co.","Insurance"
46,"2024-06-16","100.50","Debit",116,"Grocery store","FreshMart","Groceries"
47,"2024-06-17","99.99","Credit",117,"Online subscription","Tech News","Subscription"
48,"2024-06-18","25.00","Debit",118,"Bus fare","Transit Services","Transportation"
49,"2024-06-19","1800.00","Credit",119,"Loan disbursement","Lender Bank","Loan"
50,"2024-06-20","55.80","Debit",120,"Pet supplies","Pet Paradise","Pets"
51,"2024-06-21","1200.00","Credit",121,"Real estate payment","Real Estate Inc.","Real Estate"
52,"2024-06-22","85.25","Debit",122,"Hair salon","Style Salon","Personal Care"
53,"2024-06-23","500.00","Credit",123,"Utility bill","Utility Co.","Utilities"
54,"2024-06-24","60.00","Debit",124,"Clothing store","Fashionista","Clothing"
55,"2024-06-25","3000.00","Credit",125,"Bonus payment","Company XYZ","Income"
56,"2024-06-26","40.50","Debit",126,"Pharmacy","Health Pharmacy","Healthcare"
57,"2024-06-27","95.25","Credit",127,"Home improvement","FixIt Home","Home Improvement"
58,"2024-06-28","15.99","Debit",128,"Music store","Melody Music","Entertainment"
59,"2024-06-29","150.00","Credit",129,"Charity donation","Good Cause Foundation","Charity"
60,"2024-06-30","75.50","Debit",130,"Bakery","BakeArt","Food"
